desc,feature,title
"A short printed kurta to offer you an effortlessly comfy look. It comes featuring floral print all over and highlighted placket Light in weight and cut into comfortable fit, this kurti will prove a nice option to wear in a moment of hurry.",Key Features Category Mix & Match Fit Straight Color Cream Neckline Round Neck Fabric Art Silk Sleeve Length 3/4 Sleeve,Cream Art Silk Straight Kurti
"Short kurti for your summer wardrobe. It is a light weight kurti featuring print all over, round neck and three forth sleeves. This art silk made kurti also features slit on either side.",Key Features Category Mix & Match Fit Straight Color Off White Neckline Round Neck Fabric Art Silk Sleeve Length Full Sleeve,Off White Art Silk Straight Kurti
"A light weight summerish kurti in orange color. It comes featuring floral print all over, round neckline and cotton lining.",Key Features Category Mix & Match Fit Straight Color Orange Neckline Round Neck Fabric Art Silk Sleeve Length 3/4 Sleeve,Orange Art Silk Straight Kurti
"Add some fun and comfort to your appearance through this printed kurti. Combine it with palazzos in solid style or wear this with denim jeans in contrast colour. Crafted in finest fabric, this piece ensures a comfortable day and a subtle look without any efforts.",Key Features Category Mix & Match Fit Straight Color Rust Neckline Round Neck Fabric Art Silk Sleeve Length Full Sleeve,Rust Art Silk Straight Kurti
"A stylish addition to your summer wardrobe. This is set of a cotton top and shrug comes in contrast to each other. Top features round neck and checks. Shrug comes featuring textured print and asymmetric edges. Take it home and pair with white pants just like us. The set also includes a necklace, to give a contemporary touch to your whole look.",Key Features Category Mix & Match Fit Straight Color Grey Neckline Round Neck Fabric Cotton Sleeve Length Sleeveless,Grey And Indigo Top & Shrug
"Give your casual wardrobe a smart update with this two piece set by Biba. The set includes a brown sleeveless kurta and printed shrug. Crafted in finest cotton, the set assures high comfort while you look your fashionable best.",Key Features Category Mix & Match Fit Straight Color Brown Neckline Shirt Collar Fabric Cotton Flax Sleeve Length Bell Sleeve,Sand Brown Cotton Flax Front Open Kurti
A perfect inner for all your light colored kurta. It comes featuring adjustable straps and lace detailing on the edges. It?s a cotton crafted piece which makes it extremely comfortable.,Key Features Category Mix & Match Fit Straight Color White Neckline Round Neck Fabric Cotton Sleeve Length Strap,White Straight Top
"Show your love of short kurtis in the form of this beige kurti by Biba. It comes featuring V neckline highlighted with contrast print, slit on either side and floral print all over. Crafted in finest art silk, this kurta feels amazing to the skin and offers a comfortable day ahead.",Key Features Category Mix & Match Fit Straight Color Beige Neckline V-Neck Fabric Art Silk Sleeve Length Full Sleeve,Beige Art Silk Straight Kurti
"Show your love for short kurtis and start with this one. Comes featuring gorgeous print all-over this kurti is just apt to match wit solid cotton pants and that pairing will make a great outfit for work. Bring home try the suggested pairing, you will love it.",Key Features Category Mix & Match Fit Straight Color Yellow Neckline Stand Collar Fabric Art Silk Sleeve Length Full Sleeve,Yellow Art Silk Straight Kurti
"If you love short kurtis then this black kurti by Biba will definitely impress you. It comes featuring round neck, three forth sleeves and floral print all-over. It's a crepe kurti, which makes it extremely light weight and a comfortable to wear whole day long.",Key Features Category Mix & Match Fit Straight Color Black Neckline Round Neck Fabric Art Silk Sleeve Length Full Sleeve,Black Art Silk Straight Kurti
